"喜愛" "好母親" "將喜愛" "母親興趣" "母親高興" "母親建議" "母親談論" "母親期待" "母親相處" "母親信心" "母親鼓勵" "先生體諒" "先生討論" "先生幫忙" "先生支援" "先生分擔"
1 1 1 2 1 1 2 1 1 2 2 1 1 1 1 1
1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1
3 2 3 2 2 2 2 2 2 3 3 1 2 1 1 3
1 1 1 1 1 1 1 1 1 2 1 1 1 1 1 1
1 1 1 1 1 1 1 1 1 1 1 1 4 1 1 1
2 2 2 2 2 2 1 2 2 2 2 2 2 2 1 1
1 2 1 4 4 3 3 3 1 2 3 2 3 3 2 3
1 1 1 1 2 1 1 1 1 1 1 1 1 1 1 1
2 2 2 3 3 4 4 3 4 4 4 2 2 3 2 2
1 1 1 1 2 1 1 1 1 1 1 1 4 2 1 1
1 2 1 1 1 1 1 1 1 1 2 2 2 2 2 3
1 1 1 1 1 1 1 1 1 1 2 1 2 1 3 2
1 1 1 1 1 2 1 1 1 1 1 1 2 2 1 1
2 3 3 4 4 4 4 4 4 4 4 2 2 1 1 2
1 1 1 1 1 2 2 1 1 1 2 3 3 3 2 2
2 2 1 4 4 4 4 4 4 2 4 3 3 3 1 1
1 1 1 1 1 2 1 1 1 3 1 2 2 1 1 1
1 1 1 2 1 2 2 1 1 2 2 2 2 2 1 1
2 2 1 4 3 4 4 4 4 4 4 2 2 3 2 2
1 1 1 1 1 1 1 1 1 3 3 1 1 2 1 1
1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1
1 3 2 2 1 2 2 1 2 2 2 3 3 1 2 1
1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 4
2 2 1 2 2 1 2 2 2 2 2 1 1 1 1 2
1 1 1 2 2 2 2 2 1 1 1 2 2 1 1 1
1 1 1 2 1 1 4 1 2 3 2 1 3 1 1 1
1 1 1 1 1 1 1 1 1 2 1 2 2 2 1 2
1 1 1 2 1 1 1 1 1 1 1 1 1 1 1 1
1 1 1 1 1 3 3 1 1 4 1 1 2 1 1 1
1 1 1 2 2 2 2 2 2 2 3 2 4 3 2 3
1 1 1 2 1 1 3 2 1 1 1 1 4 1 2 1
1 1 1 1 1 1 1 1 1 1 2 1 1 1 1 1
1 2 1 2 2 2 3 2 2 2 2 4 3 1 1 2
1 1 1 3 2 2 2 1 2 2 3 1 1 2 2 1
2 2 1 2 2 2 2 1 1 2 2 2 3 2 1 2
2 3 2 1 2 1 1 2 1 1 1 1 1 2 1 2
1 1 1 1 1 1 1 1 1 2 1 1 1 1 1 2
1 2 1 2 2 2 2 2 2 2 2 2 2 2 1 2
1 1 1 1 1 4 1 1 1 1 1 1 2 1 1 1
2 2 2 1 1 2 1 1 1 1 1 1 1 1 1 2
1 2 1 1 1 2 1 1 1 1 1 2 2 1 1 2
1 1 1 1 1 1 1 1 1 1 1 2 1 1 2 1
2 2 1 1 1 1 1 1 1 2 2 3 2 2 2 3
3 3 2 2 2 2 1 1 1 1 2 2 2 2 1 2
1 1 1 1 1 1 1 1 1 2 1 1 1 3 1 1
2 2 2 1 2 2 1 2 2 2 2 2 2 2 2 2
2 3 2 2 4 2 2 2 2 2 2 3 3 3 2 3
1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1
2 2 2 2 1 1 1 2 2 3 2 2 2 2 2 2
1 1 1 1 1 3 3 1 3 4 1 1 1 3 1 1
1 2 1 1 1 1 1 1 1 1 1 1 2 1 1 1
1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1
2 2 2 2 2 2 2 2 2 2 2 3 3 2 2 3
1 1 1 1 1 1 1 1 1 2 1 1 1 1 1 1
1 1 1 1 1 1 1 1 1 2 1 1 1 1 1 1
1 1 1 2 1 1 2 2 1 1 2 2 2 2 2 3
2 2 1 1 1 1 1 1 1 1 1 1 2 1 1 1
2 3 2 1 1 2 2 1 1 1 1 2 2 2 3 2
1 1 1 2 2 2 2 2 2 2 2 1 2 1 1 1
1 3 1 2 2 2 3 2 3 3 1 1 2 1 2 2
1 1 1 1 1 3 2 2 2 3 1 2 3 3 1 2
1 2 1 1 1 1 2 1 1 2 2 2 2 1 1 1
1 2 1 1 1 1 1 1 1 1 1 1 2 1 1 1
4 3 3 4 4 3 3 2 3 3 2 4 2 3 4 4
2 2 1 2 2 2 2 2 2 2 2 1 2 3 2 3
2 1 1 1 1 1 1 1 1 3 1 1 2 2 1 1
2 4 3 2 2 3 3 2 2 3 3 3 3 2 2 2
2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2
1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1
1 1 1 1 1 1 1 1 1 1 1 1 3 2 1 1
1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1
1 3 1 2 2 2 2 2 1 2 2 1 1 2 1 1
1 1 1 1 1 2 1 1 1 1 1 1 1 1 1 1
2 2 1 2 2 2 1 1 1 2 1 3 2 1 2 2
1 2 1 2 2 1 2 2 2 1 3 1 2 3 1 1
1 1 1 1 1 1 1 1 1 1 1 1 1 2 1 1
1 1 1 1 1 2 1 1 1 2 3 1 1 1 1 1
1 1 1 1 1 1 1 1 1 1 1 1 2 1 1 1
1 2 1 1 1 1 1 1 1 2 1 1 1 1 1 1
1 1 1 1 1 4 4 1 1 4 1 3 3 4 4 4
1 1 1 1 1 1 1 1 1 1 1 1 1 2 1 2
2 2 2 2 2 2 2 2 2 3 2 3 3 3 2 3
1 2 1 1 1 1 1 1 1 1 3 1 2 1 1 1
2 3 2 2 2 3 3 3 3 3 3 2 2 2 2 2
1 1 1 4 3 3 3 4 3 4 1 1 1 3 1 3
1 2 1 1 1 1 3 1 2 1 1 2 3 3 1 1
3 3 2 2 1 2 3 2 1 1 2 2 2 3 2 3
2 1 2 1 2 2 2 2 2 2 2 1 2 2 1 2
1 2 1 1 3 3 4 3 2 1 1 1 1 1 1 1
3 3 2 2 2 2 2 2 2 2 2 2 2 3 2 3
2 2 1 1 1 2 1 1 1 2 1 1 2 3 1 1
3 3 3 2 2 1 2 1 1 2 3 1 3 2 2 1
1 2 1 1 1 1 1 1 1 1 1 1 2 2 1 1
1 1 1 1 1 3 2 1 1 3 3 1 1 1 1 1
1 1 1 1 1 1 1 1 1 1 1 1 2 1 1 1
1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1
1 1 1 2 2 2 4 2 4 4 4 2 4 1 1 1
1 2 1 2 2 2 2 2 2 3 3 1 1 2 1 2
1 2 1 1 1 2 2 1 1 2 2 1 2 1 2 1
1 1 1 1 1 2 2 1 2 2 1 1 2 2 1 2
1 1 1 2 2 3 3 2 2 2 3 1 3 1 2 1
1 2 1 1 1 4 4 1 4 4 4 2 3 1 1 1
1 2 1 1 1 1 1 1 1 1 2 1 1 3 1 3
1 1 1 1 1 1 1 1 1 1 3 1 2 2 1 1
3 3 3 2 2 1 3 2 1 2 2 2 1 1 1 1
1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1
1 1 1 1 1 1 1 1 1 1 1 2 1 2 1 1
1 1 1 1 1 2 1 1 1 1 2 3 2 2 1 2
1 1 1 1 1 1 1 1 1 1 1 1 1 2 1 2
2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2
1 2 1 1 1 1 1 1 1 1 1 2 1 2 2 1
1 1 1 1 1 2 1 1 1 2 2 1 3 2 1 1
2 2 2 2 1 1 1 2 1 2 1 1 2 2 1 1
1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1
1 1 1 1 1 1 1 1 1 1 1 1 1 2 1 1
2 2 1 1 2 2 2 2 1 2 2 2 3 2 2 2
2 2 1 1 1 1 2 1 1 2 2 1 1 1 1 1
1 2 1 2 1 2 1 1 3 2 3 2 3 2 2 1
1 1 1 1 1 2 1 1 1 2 1 1 1 1 1 1
1 2 1 3 2 3 2 2 3 3 2 2 2 2 2 1
1 1 1 2 2 3 2 2 2 2 1 1 1 1 1 1
2 2 2 3 1 3 2 2 1 3 1 3 3 2 3 4
1 1 1 1 1 2 3 1 2 2 1 2 1 2 1 1
1 1 1 1 1 1 1 1 1 1 1 2 1 1 1 1
1 1 1 1 1 2 1 1 1 3 2 2 1 1 1 1
1 1 1 3 1 1 1 1 1 1 1 1 2 1 1 3
1 1 1 1 1 1 1 1 1 1 1 2 2 1 1 1
3 2 2 2 2 2 2 2 2 3 2 3 3 2 3 2
1 1 2 1 1 2 2 1 2 1 1 1 2 2 1 1
1 1 1 1 1 1 1 1 2 2 3 3 1 2 2 3
2 2 2 2 1 1 1 1 1 1 1 1 2 1 1 2
1 1 1 2 2 2 3 2 2 1 2 1 2 1 2 1
1 1 1 1 1 2 1 1 1 2 1 2 3 3 1 1
1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1
1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1
4 2 1 4 4 1 4 4 1 1 4 4 4 4 4 1
1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1
1 1 1 1 1 3 1 1 1 1 1 2 1 3 1 2
1 1 1 1 1 2 1 1 1 1 1 1 1 3 1 1
1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1
1 1 1 2 1 1 1 1 1 1 1 1 1 1 1 1
1 1 1 1 1 1 1 1 1 2 2 1 1 1 1 1
1 1 1 1 1 1 1 1 1 1 1 4 3 4 3 4
1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1
1 1 1 1 1 1 3 1 3 2 2 1 1 1 1 1
1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1
2 3 2 2 4 4 3 2 3 2 2 2 2 2 2 2
1 1 1 1 1 1 1 1 1 4 1 2 1 2 1 1
2 1 1 2 2 1 1 2 1 2 2 1 3 2 1 2
1 1 1 1 1 1 1 1 1 1 1 2 2 3 1 1
1 1 1 2 2 2 3 1 2 1 2 1 3 1 1 1
1 1 1 1 1 1 3 1 1 3 2 2 2 3 1 2
1 1 1 1 2 1 2 1 1 1 2 2 2 1 1 1
1 2 1 2 1 2 3 2 1 3 3 1 1 1 1 1
3 3 2 1 1 1 1 1 1 2 2 2 4 4 1 4
1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1
1 2 1 1 1 2 2 1 2 2 2 2 3 2 2 1
